Ações por Índice;;;
Dados de 5 a 8 de 2026;;;
Empresa;Sigla;Código;
FII KINEA HF;CI;KNHF11.SA;IFIL,IFIX
FII KINEA HY;CI;KNHY11.SA;IFIL,IFIX
FII KINEA IP;CI;KNIP11.SA;IFIL,IFIX
FII KINEA RI;CI;KNCR11.SA;IFIL,IFIX
FII KINEA SC;CI;KNSC11.SA;IFIL,IFIX
FII KINEA UN;CI;KNUQ11.SA;IFIL,IFIX
FII KINEAFOF;CI;KFOF11.SA;IFIL,IFIX
FII KIVO;CI;KIVO11.SA;IFIX
FII KORE;CI;KORE11.SA;IFIL,IFIX
FII LIFE;CI;LIFE11.SA;IFIL,IFIX
FII LVBI VBI;CI;LVBI11.SA;IFIL,IFIX
FII MANATI;CI;MANA11.SA;IFIL,IFIX
FII MAUA;CI;MCCI11.SA;IFIL,IFIX
FII MAUA RE;CI;MCRE11.SA;IFIL,IFIX
FII MAXI REN;CI;MXRF11.SA;IFIL,IFIX
FII MERITO I;CI;MFII11.SA;IFIL,IFIX
FII OURI JPP;CI;OUJP11.SA;IFIX
FII PCIP PAX;CI;PCIP11.SA;IFIL,IFIX
FII PMLL PAX;CI;PMLL11.SA;IFIL,IFIX
FII POLO CRI;CI;PORD11.SA;IFIX
FII PSEC PAX;CI;PSEC11.SA;IFIL,IFIX
FII PVBI VBI;CI;PVBI11.SA;IFIL,IFIX
FII RBR PR;CI;RPRI11.SA;IFIX
FII RBRL PAX;CI;RBRL11.SA;IFIX
FII RBRP PAX;CI;RBRP11.SA;IFIX
FII RBRR PAX;CI;RBRR11.SA;IFIL,IFIX
FII RBRX PAX;CI;RBRX11.SA;IFIL,IFIX
FII RBRY PAX;CI;RBRY11.SA;IFIL,IFIX
FII REC RECE;CI;RECR11.SA;IFIL,IFIX
FII RIOB MT;CI;RBFM11.SA;IFIX
FII RIOB RC;CI;RCRB11.SA;IFIX
FII RIOB VA;CI;RBVA11.SA;IFIL,IFIX
FII RIZA AKN;CI;RZAK11.SA;IFIL,IFIX
FII RIZA TX;CI;RZTR11.SA;IFIL,IFIX
FII SDI LOG;CI;TRBL11.SA;IFIX
FII SPX SYN;CI;SPXS11.SA;IFIX
FII SUNO CRI;CI;SNCI11.SA;IFIX
FII SUNO EL;CI;SNEL11.SA;IFIL,IFIX
FII SUNOFOFI;CI;SNFF11.SA;IFIX
FII TEL PROP;CI;TEPP11.SA;IFIL,IFIX
FII TG ATIVO;CI;TGAR11.SA;IFIL,IFIX
FII TIVIO RI;CI;TVRI11.SA;IFIX
FII TOPP PAX;CI;TOPP11.SA;IFIX
FII TRX REAL;CI;TRXF11.SA;IFIL,IFIX
FII URCA REN;CI;URPR11.SA;IFIX
FII VALOR HE;CI;VGHF11.SA;IFIL,IFIX
FII VALORAIP;CI;VGIP11.SA;IFIL,IFIX
FII VALREIII;CI;VGIR11.SA;IFIL,IFIX
FII VECTIS;CI;VCJR11.SA;IFIL,IFIX
FII VGRI;CI;VGRI11.SA;IFIX
FII VINCI LG;CI;VILG11.SA;IFIL,IFIX
FII VINCI OF;CI;VINO11.SA;IFIX
FII VINCI SC;CI;VISC11.SA;IFIL,IFIX
FII VRTM;CI;VRTM11.SA;IFIX
FII WHG REAL;CI;WHGR11.SA;IFIX
FII XP CRED;CI;XPCI11.SA;IFIL,IFIX
FII XP INDL;CI;XPIN11.SA;IFIX
FII XP LOG;CI;XPLG11.SA;IFIL,IFIX
FII XP MALLS;CI;XPML11.SA;IFIL,IFIX
FII XP SELEC;CI;XPSF11.SA;IFIX
FLEURY;ON   NM;FLRY3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,ICO2,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
FORD MOTORS;DRN;FDMO34.SA;BDRX
FRANCONEVADA;DRN;F2NV34.SA;BDRX
FRAS-LE;ON   N1;FRAS3.SA;IBRA,IGCT,IGCX,INDX,SMLL
GAFISA;ON   NM;GFSA3.SA;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
GEAEROSPACE;DRN;GEOO34.SA;BDRX
GENERAL MOT;DRN;GMCO34.SA;BDRX
GER PARANAP;PN;GEPA4.SA;ITAG
GERDAU;ON   N1;GGBR3.SA;IGCX,ITAG
GERDAU;PN   N1;GGBR4.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,MLCX
GERDAU MET;ON   N1;GOAU3.SA;IGCX,ITAG
GERDAU MET;PN   N1;GOAU4.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBSD,IBXX,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,SMLL
GOLDMANSACHS;DRN;GSGI34.SA;BDRX
GPS;ON   NM;GGPS3.SA;IBRA,IBXX,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
GRAZZIOTIN;ON;CGRA3.SA;ITAG
GRAZZIOTIN;PN;CGRA4.SA;ITAG
GRENDENE;ON   NM;GRND3.SA;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
GRUPO MATEUS;ON   NM;GMAT3.SA;AGFS,IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
GRUPO SBF;ON   NM;SBFG3.SA;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
GRUPOCIBEST;DRN;C2OL34.SA;BDRX
HAPVIDA;ON   NM;HAPV3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL
HBR REALTY;ON   NM;HBRE3.SA;IGCX,IGNM,ITAG
HELBOR;ON   NM;HBOR3.SA;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
HIDROVIAS;ON   NM;HBSA3.SA;AGFS,GPTW,IBRA,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
HOME DEPOT;DRN;HOME34.SA;BDRX
HP COMPANY;DRN;HPQB34.SA;BDRX
HSBC HOLDING;DRN;H1SB34.SA;BDRX
HYPERA;ON   NM;HYPE3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL
IGUATEMI S.A;UNT  N1;IGTI11.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IMOB,ISEE,ITAG,SMLL
IMC S/A;ON   NM;MEAL3.SA;IGCX,IGNM,ITAG
INEPAR;ON;INEP3.SA;ITAG
INEPAR;PN;INEP4.SA;ITAG
INTEL;DRN;ITLC34.SA;BDRX
INTELBRAS;ON   NM;INTB3.SA;GPTW,IBRA,IBXX,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
INTER CO;DR2;INBR32.SA;IBBC,IBBE,IBBR
IOCHP-MAXION;ON   NM;MYPK3.SA;IBRA,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL
IRANI;ON   NM;RANI3.SA;AGFS,IBRA,ICO2,IDIV,IGCT,IGCX,IGNM,IMAT,INDX,ISEE,ITAG,SMLL
IRBBRASIL RE;ON   NM;IRBR3.SA;GPTW,IBRA,IBXX,IDVR,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL
ISA ENERGIA;ON   N1;ISAE3.SA;IGCX
ISA ENERGIA;PN   N1;ISAE4.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBSD,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,ISEE,MLCX,UTIL
ITAUSA;ON   N1;ITSA3.SA;IGCX
ITAUSA;PN   N1;ITSA4.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBSD,IBXL,IBXX,IDIV,IDVR,IGCT,IGCX,ISEE,ITAG,MLCX
ITAUUNIBANCO;ON   N1;ITUB3.SA;IBRA,IBXX,ICO2,IDIV,IDVR,IFNC,IGCT,IGCX,MLCX
ITAUUNIBANCO;PN   N1;ITUB4.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IDVR,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX
JALLESMACHAD;ON   NM;JALL3.SA;IGCX,IGNM,ITAG
JBS N.V.;DR2;JBSS32.SA;IBBC,IBBE,IBBR
JD COM;DRN;JDCO34.SA;BDRX
JHSF PART;ON   NM;JHSF3.SA;GPTW,IBRA,IBXX,ICO2,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
JOHNSON;DRN;JNJB34.SA;BDRX
JPMORGAN;DRN;JPMC34.SA;BDRX
JSL;ON   NM;JSLG3.SA;AGFS,IBRA,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
